Run1:
Estimate of Posterior Sizes:
Marginal Association Size:
0: 0.164, 1: 0.324, 2: 0.282, 3: 0.152, 4: 0.057, 5: 0.016, 6: 0.004, 7: 0.001, 8: 0.000, 9: 0.000, 10: 0.000, 11: 0.000, 
Interaction Association Size:
0: 1.000, 
Metropolis-Hastings Acceptance Rates:
burnin: 0.110,	move0= 0.089,	move1= 0.108,	move2= 0.095,	
---------------------------------------------------
1791 :	 B-stat = 20.171441	 P = 0.393576
6373 :	 B-stat = 5.435850	 P = 1.000000
727 :	 B-stat = 5.114109	 P = 1.000000
8497 :	 B-stat = 4.438634	 P = 1.000000
5008 :	 B-stat = 4.032734	 P = 1.000000
7352 :	 B-stat = 5.786862	 P = 1.000000
5009 :	 B-stat = 1.957040	 P = 1.000000
4932 :	 B-stat = 6.508478	 P = 1.000000
6648 :	 B-stat = 6.456691	 P = 1.000000
8335 :	 B-stat = 6.626797	 P = 1.000000
5002 :	 B-stat = 5.717585	 P = 1.000000
1939 :	 B-stat = 4.501070	 P = 1.000000
1925 :	 B-stat = 4.342357	 P = 1.000000
773 :	 B-stat = 0.623163	 P = 1.000000
7380 :	 B-stat = 5.078550	 P = 1.000000
3160 :	 B-stat = 1.153908	 P = 1.000000
8613 :	 B-stat = 1.817240	 P = 1.000000
3665 :	 B-stat = 5.870764	 P = 1.000000
4503 :	 B-stat = 5.124683	 P = 1.000000
4816 :	 B-stat = 0.059928	 P = 1.000000
4976 :	 B-stat = 4.748914	 P = 1.000000
4928 :	 B-stat = 6.184798	 P = 1.000000
1864 :	 B-stat = 0.115740	 P = 1.000000
4555 :	 B-stat = 7.576677	 P = 1.000000
8916 :	 B-stat = 6.148660	 P = 1.000000
1197 :	 B-stat = 5.389234	 P = 1.000000
8433 :	 B-stat = 5.433015	 P = 1.000000
5158 :	 B-stat = 6.167562	 P = 1.000000
4212 :	 B-stat = 4.815576	 P = 1.000000
5487 :	 B-stat = 1.132439	 P = 1.000000
3692 :	 B-stat = 5.594093	 P = 1.000000
4199 :	 B-stat = 4.401598	 P = 1.000000
5054 :	 B-stat = 5.864561	 P = 1.000000
8775 :	 B-stat = 4.069824	 P = 1.000000
3410 :	 B-stat = 6.436765	 P = 1.000000
7746 :	 B-stat = 7.027550	 P = 1.000000
6495 :	 B-stat = 3.115165	 P = 1.000000
6785 :	 B-stat = 6.517366	 P = 1.000000
4183 :	 B-stat = 1.730583	 P = 1.000000
7926 :	 B-stat = 6.642611	 P = 1.000000
7304 :	 B-stat = 5.061413	 P = 1.000000
1549 :	 B-stat = 6.556127	 P = 1.000000
864 :	 B-stat = 4.384563	 P = 1.000000
1596 :	 B-stat = 6.786050	 P = 1.000000
2922 :	 B-stat = 6.227699	 P = 1.000000
5221 :	 B-stat = 4.173707	 P = 1.000000
4629 :	 B-stat = 3.565083	 P = 1.000000
8164 :	 B-stat = 6.092302	 P = 1.000000
1776 :	 B-stat = 5.280291	 P = 1.000000
5808 :	 B-stat = 4.843756	 P = 1.000000
8161 :	 B-stat = 3.999017	 P = 1.000000
5804 :	 B-stat = 0.598098	 P = 1.000000
5803 :	 B-stat = 4.934819	 P = 1.000000
7841 :	 B-stat = 12.942583	 P = 1.000000
4930 :	 B-stat = 4.926912	 P = 1.000000
2023 :	 B-stat = 5.712277	 P = 1.000000
6979 :	 B-stat = 3.585695	 P = 1.000000
2094 :	 B-stat = 3.229724	 P = 1.000000
2392 :	 B-stat = 6.422904	 P = 1.000000
4558 :	 B-stat = 5.841269	 P = 1.000000
5003 :	 B-stat = 4.828967	 P = 1.000000
2686 :	 B-stat = 3.231105	 P = 1.000000
5218 :	 B-stat = 6.526631	 P = 1.000000
8139 :	 B-stat = 5.700518	 P = 1.000000
6016 :	 B-stat = 4.339586	 P = 1.000000
5580 :	 B-stat = 1.334333	 P = 1.000000
2688 :	 B-stat = 3.718591	 P = 1.000000
2711 :	 B-stat = 1.605118	 P = 1.000000
8379 :	 B-stat = 16.952413	 P = 1.000000
7439 :	 B-stat = 0.702883	 P = 1.000000
3558 :	 B-stat = 4.392987	 P = 1.000000
7437 :	 B-stat = 6.621283	 P = 1.000000
3753 :	 B-stat = 14.137458	 P = 1.000000
3848 :	 B-stat = 5.912888	 P = 1.000000
3664 :	 B-stat = 6.032252	 P = 1.000000
6123 :	 B-stat = 3.194467	 P = 1.000000
9155 :	 B-stat = 5.483405	 P = 1.000000
9153 :	 B-stat = 6.145835	 P = 1.000000
4020 :	 B-stat = 6.131225	 P = 1.000000
9139 :	 B-stat = 4.569744	 P = 1.000000
4197 :	 B-stat = 4.712896	 P = 1.000000
5216 :	 B-stat = 4.781265	 P = 1.000000
6144 :	 B-stat = 2.916011	 P = 1.000000
6111 :	 B-stat = 0.122451	 P = 1.000000
3725 :	 B-stat = 3.953552	 P = 1.000000
7101 :	 B-stat = 3.673913	 P = 1.000000
3443 :	 B-stat = 7.093741	 P = 1.000000
6632 :	 B-stat = 4.993835	 P = 1.000000
5838 :	 B-stat = 5.984524	 P = 1.000000
6302 :	 B-stat = 1.304651	 P = 1.000000
4940 :	 B-stat = 4.935497	 P = 1.000000
8421 :	 B-stat = 5.469407	 P = 1.000000
3435 :	 B-stat = 5.797851	 P = 1.000000
4902 :	 B-stat = 6.304064	 P = 1.000000
4339 :	 B-stat = 6.470329	 P = 1.000000
3422 :	 B-stat = 7.664831	 P = 1.000000
7656 :	 B-stat = 1.859297	 P = 1.000000
8425 :	 B-stat = 3.312331	 P = 1.000000
5835 :	 B-stat = 1.891217	 P = 1.000000
6929 :	 B-stat = 3.868496	 P = 1.000000
3414 :	 B-stat = 1.497270	 P = 1.000000
6401 :	 B-stat = 4.824509	 P = 1.000000
3366 :	 B-stat = 7.168814	 P = 1.000000
8285 :	 B-stat = 1.032365	 P = 1.000000
295 :	 B-stat = 3.694307	 P = 1.000000
402 :	 B-stat = 4.282384	 P = 1.000000
664 :	 B-stat = 3.144538	 P = 1.000000
6947 :	 B-stat = 6.693647	 P = 1.000000
6000 :	 B-stat = 3.615784	 P = 1.000000
8667 :	 B-stat = 6.242458	 P = 1.000000
7378 :	 B-stat = 8.792431	 P = 1.000000
2783 :	 B-stat = 6.798773	 P = 1.000000
1260 :	 B-stat = 3.465613	 P = 1.000000
2929 :	 B-stat = 6.132835	 P = 1.000000
4811 :	 B-stat = 1.920254	 P = 1.000000
2916 :	 B-stat = 4.040601	 P = 1.000000
5497 :	 B-stat = 1.934163	 P = 1.000000
7016 :	 B-stat = 3.591570	 P = 1.000000
7014 :	 B-stat = 4.744639	 P = 1.000000
1426 :	 B-stat = 4.421777	 P = 1.000000
2843 :	 B-stat = 3.657475	 P = 1.000000
1541 :	 B-stat = 1.614143	 P = 1.000000
1591 :	 B-stat = 4.372510	 P = 1.000000
6794 :	 B-stat = 5.643814	 P = 1.000000
7292 :	 B-stat = 2.947178	 P = 1.000000
5885 :	 B-stat = 4.431322	 P = 1.000000
1560 :	 B-stat = 1.879887	 P = 1.000000
7348 :	 B-stat = 4.563538	 P = 1.000000
8168 :	 B-stat = 5.953810	 P = 1.000000
6782 :	 B-stat = 4.456412	 P = 1.000000
4793 :	 B-stat = 5.782716	 P = 1.000000
9285 :	 B-stat = 5.759033	 P = 1.000000
5202 :	 B-stat = 3.006219	 P = 1.000000
4495 :	 B-stat = 3.592066	 P = 1.000000
8426 :	 B-stat = 4.228240	 P = 1.000000
7307 :	 B-stat = 5.125294	 P = 1.000000
4256 :	 B-stat = 0.659627	 P = 1.000000
3413 :	 B-stat = 2.528655	 P = 1.000000
5165 :	 B-stat = 4.784409	 P = 1.000000
6490 :	 B-stat = 4.138260	 P = 1.000000
7136 :	 B-stat = 3.407981	 P = 1.000000
4498 :	 B-stat = 0.985209	 P = 1.000000
8287 :	 B-stat = 1.480042	 P = 1.000000
4260 :	 B-stat = 5.669848	 P = 1.000000
9214 :	 B-stat = 3.590727	 P = 1.000000
5830 :	 B-stat = 2.463025	 P = 1.000000
6811 :	 B-stat = 1.187039	 P = 1.000000
6286 :	 B-stat = 7.942677	 P = 1.000000
5611 :	 B-stat = 3.467134	 P = 1.000000
9241 :	 B-stat = 5.486728	 P = 1.000000
3679 :	 B-stat = 3.904782	 P = 1.000000
3673 :	 B-stat = 2.543739	 P = 1.000000
6815 :	 B-stat = 5.107584	 P = 1.000000
7342 :	 B-stat = 2.347995	 P = 1.000000
4179 :	 B-stat = 2.479669	 P = 1.000000
352 :	 B-stat = 3.874849	 P = 1.000000
5867 :	 B-stat = 1.346584	 P = 1.000000
3667 :	 B-stat = 2.300761	 P = 1.000000
360 :	 B-stat = 3.262802	 P = 1.000000
369 :	 B-stat = 4.532250	 P = 1.000000
4276 :	 B-stat = 1.369697	 P = 1.000000
3649 :	 B-stat = 2.326948	 P = 1.000000
2704 :	 B-stat = 4.173014	 P = 1.000000
414 :	 B-stat = 4.456861	 P = 1.000000
4592 :	 B-stat = 3.253336	 P = 1.000000
419 :	 B-stat = 3.356617	 P = 1.000000
424 :	 B-stat = 4.610923	 P = 1.000000
447 :	 B-stat = 6.966971	 P = 1.000000
2698 :	 B-stat = 4.032213	 P = 1.000000
4621 :	 B-stat = 4.794966	 P = 1.000000
6022 :	 B-stat = 5.431457	 P = 1.000000
4612 :	 B-stat = 5.887725	 P = 1.000000
5770 :	 B-stat = 5.668057	 P = 1.000000
7383 :	 B-stat = 3.015221	 P = 1.000000
2366 :	 B-stat = 3.362397	 P = 1.000000
2357 :	 B-stat = 3.799864	 P = 1.000000
5870 :	 B-stat = 1.127412	 P = 1.000000
4590 :	 B-stat = 2.756165	 P = 1.000000
4061 :	 B-stat = 4.860236	 P = 1.000000
6106 :	 B-stat = 3.647938	 P = 1.000000
2100 :	 B-stat = 5.786311	 P = 1.000000
5587 :	 B-stat = 5.724534	 P = 1.000000
720 :	 B-stat = 0.105737	 P = 1.000000
5185 :	 B-stat = 3.178441	 P = 1.000000
7150 :	 B-stat = 2.784454	 P = 1.000000
5779 :	 B-stat = 4.453182	 P = 1.000000
4288 :	 B-stat = 8.888860	 P = 1.000000
4820 :	 B-stat = 5.447976	 P = 1.000000
8890 :	 B-stat = 3.830656	 P = 1.000000
6735 :	 B-stat = 3.500361	 P = 1.000000
2950 :	 B-stat = 2.857573	 P = 1.000000
2008 :	 B-stat = 0.603116	 P = 1.000000
859 :	 B-stat = 0.571789	 P = 1.000000
861 :	 B-stat = 4.017745	 P = 1.000000
4573 :	 B-stat = 4.510991	 P = 1.000000
8594 :	 B-stat = 5.748667	 P = 1.000000
866 :	 B-stat = 3.706768	 P = 1.000000
5466 :	 B-stat = 4.485310	 P = 1.000000
4605 :	 B-stat = 3.915206	 P = 1.000000
7241 :	 B-stat = 5.685062	 P = 1.000000
1861 :	 B-stat = 2.131188	 P = 1.000000
995 :	 B-stat = 5.548960	 P = 1.000000
6754 :	 B-stat = 3.533156	 P = 1.000000
8158 :	 B-stat = 4.919484	 P = 1.000000
7852 :	 B-stat = 3.602878	 P = 1.000000
7315 :	 B-stat = 3.918061	 P = 1.000000
4301 :	 B-stat = 3.464958	 P = 1.000000
9384 :	 B-stat = 2.749672	 P = 1.000000
8915 :	 B-stat = 1.794483	 P = 1.000000
7585 :	 B-stat = 5.211238	 P = 1.000000
1783 :	 B-stat = 4.466598	 P = 1.000000
9268 :	 B-stat = 4.265507	 P = 1.000000
1779 :	 B-stat = 2.415130	 P = 1.000000
1766 :	 B-stat = 0.637341	 P = 1.000000
7277 :	 B-stat = 7.838513	 P = 1.000000
7279 :	 B-stat = 3.187291	 P = 1.000000
5213 :	 B-stat = 3.498983	 P = 1.000000
4906 :	 B-stat = 5.102219	 P = 1.000000
4958 :	 B-stat = 5.112960	 P = 1.000000
4688 :	 B-stat = 2.593531	 P = 1.000000
6788 :	 B-stat = 4.697825	 P = 1.000000
6921 :	 B-stat = 3.221109	 P = 1.000000
1263 :	 B-stat = 2.945573	 P = 1.000000
1608 :	 B-stat = 6.940669	 P = 1.000000
5168 :	 B-stat = 9.135808	 P = 1.000000
2924 :	 B-stat = 4.428687	 P = 1.000000
1269 :	 B-stat = 3.501956	 P = 1.000000
9439 :	 B-stat = 3.868918	 P = 1.000000
1273 :	 B-stat = 4.410444	 P = 1.000000
5118 :	 B-stat = 1.905891	 P = 1.000000
3466 :	 B-stat = 5.938031	 P = 1.000000
4343 :	 B-stat = 4.535261	 P = 1.000000
6120 :	 B-stat = 4.573432	 P = 1.000000
5174 :	 B-stat = 6.702462	 P = 1.000000
1335 :	 B-stat = 5.131647	 P = 1.000000
1353 :	 B-stat = 5.393984	 P = 1.000000
1357 :	 B-stat = 2.388209	 P = 1.000000
1367 :	 B-stat = 1.183406	 P = 1.000000
4015 :	 B-stat = 5.033877	 P = 1.000000
8967 :	 B-stat = 5.357447	 P = 1.000000
1588 :	 B-stat = 3.877550	 P = 1.000000
7117 :	 B-stat = 1.477526	 P = 1.000000
5531 :	 B-stat = 6.608565	 P = 1.000000
4356 :	 B-stat = 4.225822	 P = 1.000000
6996 :	 B-stat = 2.378608	 P = 1.000000
5858 :	 B-stat = 5.923791	 P = 1.000000
9160 :	 B-stat = 1.168560	 P = 1.000000
1551 :	 B-stat = 5.973204	 P = 1.000000
6304 :	 B-stat = 7.953657	 P = 1.000000
4916 :	 B-stat = 3.870726	 P = 1.000000
7657 :	 B-stat = 2.116814	 P = 1.000000
6301 :	 B-stat = 3.958714	 P = 1.000000
4483 :	 B-stat = 5.908434	 P = 1.000000
6129 :	 B-stat = 2.426712	 P = 1.000000
5146 :	 B-stat = 2.129250	 P = 1.000000
2807 :	 B-stat = 4.672461	 P = 1.000000
1583 :	 B-stat = 4.573702	 P = 1.000000
2798 :	 B-stat = 3.773373	 P = 1.000000
8010 :	 B-stat = 2.795825	 P = 1.000000
8947 :	 B-stat = 0.666190	 P = 1.000000
470 :	 B-stat = 1.326842	 P = 1.000000
9443 :	 B-stat = 3.913439	 P = 1.000000
4952 :	 B-stat = 2.837470	 P = 1.000000
5876 :	 B-stat = 3.844336	 P = 1.000000
6957 :	 B-stat = 1.792031	 P = 1.000000
5873 :	 B-stat = 0.692098	 P = 1.000000
5644 :	 B-stat = 5.205997	 P = 1.000000
6158 :	 B-stat = 0.146365	 P = 1.000000
9434 :	 B-stat = 0.512250	 P = 1.000000
8828 :	 B-stat = 4.228267	 P = 1.000000
7294 :	 B-stat = 2.721153	 P = 1.000000
8572 :	 B-stat = 2.734058	 P = 1.000000
5480 :	 B-stat = 1.816234	 P = 1.000000
6402 :	 B-stat = 1.328171	 P = 1.000000
6786 :	 B-stat = 6.303521	 P = 1.000000
6154 :	 B-stat = 0.444764	 P = 1.000000
6925 :	 B-stat = 3.325191	 P = 1.000000
7285 :	 B-stat = 1.687558	 P = 1.000000
6914 :	 B-stat = 4.750428	 P = 1.000000
5811 :	 B-stat = 0.266886	 P = 1.000000
4810 :	 B-stat = 2.721335	 P = 1.000000
5337 :	 B-stat = 3.817510	 P = 1.000000
6391 :	 B-stat = 0.892664	 P = 1.000000
7276 :	 B-stat = 2.392564	 P = 1.000000
